num_in_agegroup,latent,total_inf,total_symp,total_asymp,total_vac,total_vac_symp,total_vac_asymp,total_vac_inf,total_vac_healthy,total_unvac_symp,total_unvac_asymp,total_unvac_inf,total_unvac_healthy
2059,9485,1941,951,990,824,352,417,769,55,599,573,1172,63
2141,0,1,1,0,899,0,0,0,899,1,0,1,1241
2140,9478,1998,970,1028,792,339,389,728,64,631,639,1270,78
2065,9476,1970,965,1005,785,361,385,746,39,604,620,1224,56
2092,9497,1972,974,998,879,373,438,811,68,601,560,1161,52
2158,9506,2056,984,1072,885,396,444,840,45,588,628,1216,57
2126,9522,2014,1001,1013,765,347,369,716,49,654,644,1298,63
2108,9491,1999,999,1000,717,334,345,679,38,665,655,1320,71
2102,9454,1984,961,1023,799,359,385,744,55,602,638,1240,63
2069,9438,1939,907,1032,807,322,419,741,66,585,613,1198,64
2118,0,0,0,0,868,0,0,0,868,0,0,0,1250
2174,9503,2061,1042,1019,870,382,428,810,60,660,591,1251,53
2084,9492,1969,998,971,750,340,363,703,47,658,608,1266,68
2090,9552,1997,981,1016,732,331,364,695,37,650,652,1302,56
2082,9534,1975,956,1019,729,311,373,684,45,645,646,1291,62
2045,9517,1934,957,977,757,333,377,710,47,624,600,1224,64
2134,0,0,0,0,790,0,0,0,790,0,0,0,1344
2137,9510,2028,982,1046,898,395,451,846,52,587,595,1182,57
2097,9483,1987,950,1037,797,338,408,746,51,612,629,1241,59
2183,9505,2071,1027,1044,851,367,428,795,56,660,616,1276,56
2070,9527,1966,972,994,745,311,381,692,53,661,613,1274,51
2075,9508,1955,954,1001,830,353,416,769,61,601,585,1186,59
2155,9453,2025,934,1091,905,389,452,841,64,545,639,1184,66
2145,9537,2039,1028,1011,751,335,372,707,44,693,639,1332,62
2109,9535,2019,965,1054,780,333,399,732,48,632,655,1287,42
2108,9475,1984,1015,969,801,357,388,745,56,658,581,1239,68
2074,9510,1954,981,973,747,335,363,698,49,646,610,1256,71
2056,9482,1942,955,987,740,331,355,686,54,624,632,1256,60
2142,9529,2026,1004,1022,771,344,380,724,47,660,642,1302,69
2130,9493,2013,1003,1010,767,348,370,718,49,655,640,1295,68
2038,9511,1925,940,985,713,302,361,663,50,638,624,1262,63
2075,9520,1966,979,987,747,341,359,700,47,638,628,1266,62
2042,9504,1946,964,982,735,325,364,689,46,639,618,1257,50
